	Sp_ds	Sp_hs	Sp_log	Sp_plat
O36021	0.00	0.00	33.16	0.00
c1910_g1_i1	2.25	0.00	0.00	75.45
c5946_g1_i1	166.45	1481.30	142.46	146.15
Q9P7K6	2360.17	8144.43	67.99	434.08
Q10066	185.69	721.94	1503.96	184.21
c3245_g1_i1	45.20	1.25	28.45	2.72
O74888	155.60	693.05	30.09	143.68
Q9P7B2	568.98	3038.47	2262.96	154.41
O94268	14.34	79.99	188.08	19.54
O74875	1.64	122.56	23.07	18.47
Q8NKC2	299.34	6.55	4.92	245.54
O74470	306.89	60.57	2.39	21.96
c4471_g2_i2	1616.22	1895.55	211.99	1117.95
O14369	20.98	33.34	114.79	10.85
O94564	247.03	31.97	12.82	495.41
O13901	897.04	162.24	71.65	876.48
O94342	14.29	7.78	5.08	87.12
O13848	969.14	687.76	50.14	960.57
O42889	70.13	4.75	3.38	108.18
c1292_g1_i1	41.34	0.00	0.00	98.93
Q9HDU6	15.07	22.45	92.45	7.24
Q7Z9I0	22.97	15.46	213.35	122.11
O13905	39.54	162.69	46.53	16.32
P14068	21.09	0.00	0.03	19.77
O14123	0.00	83.34	11.09	10.27
O13901	0.00	0.00	37.56	0.00
O74959	349.82	75.67	47.10	452.04
c6384_g1_i1	7.53	1000.48	3.36	18.80
O14363	74.54	283.67	393.45	31.33
Q92339	221.05	87.07	2.56	93.49
Q10195	1530.48	2751.82	81.26	938.56
c5136_g1_i1	23.15	304.05	105.77	352.16
c4957_g1_i1	2136.53	4218.78	23.29	2462.47
Q9UTE5	4.54	26.02	0.00	3.19
O94358	173.62	115.58	13.94	177.74
O94462	120.38	39.17	19.19	183.10
O13854	34.24	192.20	196.26	15.83
P08093	925.31	2348.90	2768.00	379.99
O36029	144.24	3.27	0.00	767.83
O13990	112.10	247.43	52.84	726.10
Q9Y7K0	330.44	111.89	32.40	407.89
Q09903	4.65	32.73	76.03	17.58
O13966	1278.80	556.42	250.28	2885.78
Q9URU6	9.46	53.99	245.08	5.37
c6243_g1_i1	410.60	2323.42	2133.01	222.67
O74191	15.74	156.08	547.92	21.44
O60144	752.29	2782.88	2041.03	340.25
c3801_g1_i1	87.74	28.30	3.67	97.12
O42663	418.75	2421.90	52.84	353.08
Q9P5M9	364.70	42.88	5.24	545.21
Q9C0Y4	2600.48	21.41	15.26	3106.78
O74325	58.23	11.75	8.83	135.39
Q9UUJ9	281.74	32.15	27.64	805.86
O14258	3.67	5.96	67.56	6.86
Q9UUN5	14.96	69.87	116.18	8.52
O13696	327.31	113.89	63.00	773.82
P36584	426.63	707.07	1233.66	136.36
Q10157	657.33	1974.52	2225.61	183.79
O94435	0.00	102.50	10.25	0.00
P36629	34.23	201.01	73.79	22.19
Q9P371	0.00	24.93	3.36	22.39
O94622	29.56	42.17	16.35	1.59
P18172	0.00	0.00	0.00	92.68
Q9Y7N4	17.97	31.12	6.21	75.03
P87139	80.73	10.91	14.25	323.36
Q9HDX6	10.51	0.00	66.77	196.30
O13749	91.68	112.74	26.71	242.62
Q9Y7X7	0.69	0.00	45.20	0.00
O59826	202.96	34.77	18.59	198.37
c4351_g1_i1	18.42	14.81	7.92	150.57
O13917	34.44	113.61	204.04	23.10
O59852	1984.15	18.95	13.24	1115.88
Q9P779	32.36	24.46	3.61	52.05
c5036_g1_i1	2245.52	710.44	239.09	6969.63
Q9UUD6	49.97	15.12	23.42	141.24
Q9P7D9	22.37	23.87	3.83	87.99
c4712_g1_i2	3.81	3.56	1.19	58.51
O60077	85.26	104.46	10.42	163.48
Q96TL7	0.00	48.22	7.23	0.00
O74992	106.06	227.29	4.84	1075.51
Q9P6Q5	28.34	72.28	131.23	7.24
O74412	19.10	4.41	6.86	65.85
Q8NKC1	44.68	17.15	11.20	127.63
Q09740	0.00	0.00	0.00	12.61
Q96TL7	14.77	0.00	0.00	18.12
O13709	60.78	40.10	12.27	125.69
O59746	49.75	11.85	41.20	136.87
Q01682	15.82	32.99	82.86	6.59
O13938	20.09	11.78	2.52	58.16
c4754_g2_i1	119.05	0.00	0.00	5.29
O94322	1068.61	473.17	13.28	723.15
O94641	589.36	4900.68	69.15	294.21
O43066	10.28	0.02	7.46	59.67
c5021_g1_i1	5.16	74.06	0.00	12.65
Q10232	704.08	2250.47	1783.96	283.16
O74887	2052.39	12732.46	1417.39	1760.01
O14400	1060.50	111.38	22.18	59.78
Q5UQ88	90.90	510.34	780.58	65.62
c6166_g1_i1	813.05	287.41	12.72	5752.11
O14469	176.37	418.99	703.48	26.43
O94632	123.36	8.53	12.68	64.69
O74442	0.00	18.35	25.69	44.36
c6016_g1_i1	1362.26	3992.17	3521.94	450.13
G2TRT0	19.45	65.48	0.00	29.99
Q9P5N2	11.66	49.71	88.76	1.67
Q9HDZ2	8.83	0.00	0.00	14.45
P40373	53.71	176.74	379.47	37.12
Q9Y7N9	4.00	0.00	0.00	25.67
c2018_g1_i2	18.39	19.74	0.00	61.54
O60119	20.96	56.32	3.52	157.71
O94300	17.05	29.72	159.65	14.11
c4743_g1_i2	181.31	158.03	0.00	24.00
O13692	55.90	101.96	212.61	20.67
O94664	15.72	19.48	0.50	0.00
O74402	169.69	2077.10	67.61	94.50
P40376	279.73	203.58	22.52	115.09
Q9P7G9	59.88	319.01	292.74	10.88
c5229_g1_i1	517.33	2381.85	24.39	330.96
Q09819	0.00	184.64	13.36	0.00
Q9HFF2	1.90	49.35	48.48	9.32
c5428_g1_i1	8.03	0.00	0.00	55.37
Q9Y7P3	21.88	0.00	58.45	25.34
O14137	435.49	60.25	14.55	304.82
Q10107	11.87	62.06	156.51	14.73
Q9URY9	103.60	0.00	0.00	254.38
O74876	18.80	120.05	10.15	5.91
Q10494	1358.85	5111.14	190.36	836.13
Q9UU76	27.12	78.66	171.50	19.94
Q09923	126.73	75.99	45.13	358.61
P32747	37.62	194.40	371.71	51.64
O42890	103.18	9.70	10.91	424.96
O94392	105.03	12.04	29.51	393.28
c974_g1_i1	24.18	70.33	2.43	117.77
O13867	4.29	7.73	1.38	96.26
c5094_g1_i1	32.05	33.16	6.62	87.64
Q10488	346.33	670.85	21.30	249.89
P24782	0.00	0.00	201.67	20.00
O59794	278.69	858.80	1438.71	85.03
c3086_g3_i1	43.47	13.91	23.78	185.77
Q9P371	38.43	0.00	10.22	61.93
Q9HDU2	404.14	79.26	36.55	62.06
O13944	0.00	18.90	0.00	0.00
Q9USM2	594.98	162.52	14.72	642.97
O14201	506.15	5.83	17.38	309.02
Q10242	826.93	118.63	68.55	573.41
O43070	14.67	10.61	0.00	31.85
O13693	136.64	72.76	12.22	158.86
O94570	16.72	6.49	12.15	90.75
O42848	1201.93	2859.50	3057.57	344.35
P87133	284.65	442.05	15.47	348.17
O94681	384.76	133.81	106.52	826.08
c4745_g8_i1	15.54	110.42	5.20	7.56
Q9C105	5.22	18.25	73.44	0.00
Q9C0Q1	63.18	360.00	258.57	29.70
O13896	11.63	30.40	116.67	8.49
P78890	7084.80	1881.79	28.52	2506.47
O42699	456.08	1302.34	1251.75	100.40
c3267_g1_i1	47.61	8.38	1.99	281.76
O14150	833.21	2169.42	2399.21	176.64
Q9P3W2	4.31	91.05	4.33	7.35
O94340	12.81	222.28	8.56	25.30
P87293	57.43	45.55	10.50	93.05
Q09686	485.06	172.61	23.60	1359.74
O13944	52.26	8.62	57.49	128.51
O74867	60.94	13.66	27.59	157.61
Q9UU78	343.51	1109.67	1246.38	127.21
O36032	1354.49	2192.25	229.02	1018.28
Q09679	22.29	5.02	0.00	63.78
P78946	1539.59	6177.03	4900.92	458.94
c3847_g1_i1	7.19	128.87	5.73	2.90
Q9P7D9	105.98	3.95	0.00	60.59
P55306	1594.30	1213.81	26.20	602.80
Q09910	63.95	30.41	90.58	369.11
Q9UQY9	15.70	57.83	36.59	1.89
Q10281	1622.27	4479.84	4113.06	539.82
